Symbol,P/E Ratio,P/B Ratio,ROE,Market Cap,1y Return,GICS Sector,GICS Sub-Industry
MTCH,14.080717,,,7884257792.0,-0.08454809571531637,Communication Services,Interactive Media & Services
MKC,26.70068,3.8855617,0.15067,21064925184.0,0.1737440673412734,Consumer Staples,Packaged Foods & Meats
MCD,25.539036,,,208640327680.0,0.01348905262712834,Consumer Discretionary,Restaurants
MCK,29.589098,,,72716943360.0,0.3034904978996293,Health Care,Health Care Distributors
MDT,24.539757,2.0956075,0.07948,102897369088.0,-0.028628469268806443,Health Care,Health Care Equipment
MRK,20.702929,5.630405,0.28332,250333167616.0,-0.06440875495337221,Health Care,Pharmaceuticals
META,28.57547,9.2934065,0.36134,1529336037376.0,0.8087900498776317,Communication Services,Interactive Media & Services
MET,16.26572,1.8010106,0.13260001,55525158912.0,0.20840870560355798,Financials,Life & Health Insurance
MTD,32.52524,,,25423161344.0,0.01186366666984502,Health Care,Life Sciences Tools & Services
MGM,12.114696,3.1049054,0.2901,10063611904.0,-0.21577725211857318,Consumer Discretionary,Casinos & Gaming
MCHP,39.65625,4.886198,0.118030004,30665955328.0,-0.38063989769660134,Information Technology,Semiconductors
MU,25.106018,2.1530902,0.01743,97612193792.0,0.07628054053709586,Information Technology,Semiconductors
MSFT,36.48845,11.429457,0.35604,3288001150976.0,0.19268738823852097,Information Technology,Systems Software
MAA,34.184685,2.9822183,0.08611,18206920704.0,0.12830801337083678,Real Estate,Multi-Family Residential REITs
MRNA,,1.2564963,-0.17524,14979039232.0,-0.5474363647217728,Health Care,Biotechnology
MHK,13.267495,0.9449509,0.07457,7419909120.0,0.11495781761832201,Consumer Discretionary,Home Furnishings
MOH,14.887589,3.4975624,0.26454002,16741868544.0,-0.19364705057427914,Health Care,Managed Health Care
TAP,13.195946,0.9066011,0.071669996,12079149056.0,-0.05194173339969343,Consumer Staples,Brewers
MDLZ,21.287233,2.881901,0.13552,80271515648.0,-0.15091935826753386,Consumer Staples,Packaged Foods & Meats
MPWR,67.64181,12.416876,0.20214,29201172480.0,-0.054759900853408934,Information Technology,Semiconductors
MNST,32.67949,8.578159,0.23517,49579069440.0,-0.07460520237734093,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,42.514156,21.605328,0.54016,84368474112.0,0.19655066493744705,Financials,Financial Exchanges & Data
MS,18.560791,2.0967963,0.11079001,196756307968.0,0.33358806302189664,Financials,Investment Banking & Brokerage
MOS,21.238937,0.64604706,0.03346,7623479808.0,-0.34462040688091405,Materials,Fertilizers & Agricultural Chemicals
MSI,51.092754,58.58464,1.82528,77787299840.0,0.49904987623918073,Information Technology,Communications Equipment
MSCI,39.459015,,,47159926784.0,0.1320026725126062,Financials,Financial Exchanges & Data
NDAQ,46.95181,4.045889,0.10888,44796641280.0,0.423821703536149,Financials,Financial Exchanges & Data
NTAP,21.513813,20.99946,1.2042199,23750207488.0,0.31376520580746914,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,51.175705,17.04156,0.34714,387195699200.0,0.9188450668204764,Communication Services,Movies & Entertainment
NEM,,1.4328892,-0.05159,42367418368.0,-0.08942987215116917,Materials,Gold
NWSA,44.943546,1.9219892,0.04916,16388493312.0,0.19081197544345652,Communication Services,Publishing
NWS,49.612904,2.121672,0.04916,16359459840.0,0.25397469905608405,Communication Services,Publishing
NEE,20.89911,2.8937097,0.09887999,144832249856.0,0.14520325699472816,Utilities,Multi-Utilities
NKE,22.063038,8.233533,0.3798,114614501376.0,-0.3665158530089691,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,21.942074,2.0124712,0.08756,16797042688.0,0.35895019759930497,Utilities,Multi-Utilities
NDSN,26.286066,4.271545,0.17406,12189952000.0,-0.15391337118880777,Industrials,Industrial Machinery & Supplies & Components
NSC,21.924883,3.8322036,0.18303,52827041792.0,0.005295542708546361,Industrials,Rail Transportation
NTRS,12.572852,1.6867712,0.13732,20012089344.0,0.18150968625107164,Financials,Asset Management & Custody Banks
NOC,28.736292,4.611194,0.15484,67950698496.0,0.011582316444755339,Industrials,Aerospace & Defense
NCLH,22.122807,9.767622,0.69788,11089435648.0,0.23870326902308528,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,22.284653,9.866302,0.31931,18237016064.0,0.8463905225267034,Utilities,Independent Power Producers & Energy Traders
NUE,11.226178,1.3377987,0.13221,27388588032.0,-0.32507814809412594,Materials,Steel
NVDA,52.5447,76.225975,1.23767,3255653892096.0,1.6367356365605459,Information Technology,Semiconductors
NVR,16.5569,5.8084846,0.38716,24802109440.0,0.17647401118457023,Consumer Discretionary,Homebuilding
NXPI,20.069723,5.674435,0.29555,53405802496.0,-0.09788343497998729,Information Technology,Semiconductors
ORLY,30.261934,,,70632931328.0,0.2857593039053276,Consumer Discretionary,Automotive Retail
OXY,12.527396,1.6257199,0.13118,42905731072.0,-0.2191769569360686,Energy,Oil & Gas Exploration & Production
ODFL,33.567425,9.8131275,0.30241,40921161728.0,-0.02470421512948289,Industrials,Cargo Ground Transportation
OMC,12.090163,4.369723,0.33923998,17382373376.0,0.01958521760913418,Communication Services,Advertising
ON,16.331264,3.2635,0.2183,28023830528.0,-0.23158200503335155,Information Technology,Semiconductors
OKE,20.800848,3.3962915,0.16875,57361764352.0,0.4453113479184714,Energy,Oil & Gas Storage & Transportation
ORCL,41.605133,53.86673,1.55578,475944681472.0,0.6469705167319815,Information Technology,Application Software
OTIS,23.252487,,,37339615232.0,0.03642306180054721,Industrials,Industrial Machinery & Supplies & Components
PCAR,12.022931,3.0192418,0.27142,56354492416.0,0.11672727906858767,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,26.652277,4.7771525,0.18972,20512335872.0,0.38631956347044294,Materials,Paper & Plastic Packaging Products & Materials
PLTR,377.15,38.057518,0.12409,171831050240.0,3.1450549054384793,Information Technology,Internet Services & Infrastructure
PANW,49.2026,11.912337,0.74517995,124303958016.0,0.23286690660985146,Information Technology,Systems Software
PARA,,0.42619333,-0.30080998,7545396736.0,-0.34695760903128964,Communication Services,Movies & Entertainment
PH,28.973661,6.425155,0.24641001,82831966208.0,0.4186618082539418,Industrials,Industrial Machinery & Supplies & Components
PAYX,29.635395,12.990933,0.45672,50022223872.0,0.09579004656312728,Industrials,Human Resource & Employment Services
PAYC,24.938103,7.708326,0.32584998,11964000256.0,0.033141002510773225,Industrials,Human Resource & Employment Services
PYPL,20.808615,4.3372893,0.22188,87200931840.0,0.41984991413817385,Financials,Transaction & Payment Processing Services
PNR,25.3525,4.7891383,0.20408002,16756077568.0,0.42971948718163844,Industrials,Industrial Machinery & Supplies & Components
PEP,22.588493,10.80957,0.48819,210120261632.0,-0.0829341682845247,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,34.306667,1.5796906,0.04538,145811652608.0,-0.033796456886721324,Health Care,Pharmaceuticals
PCG,15.386719,1.5688226,0.10674,43201175552.0,0.10895267122776438,Utilities,Multi-Utilities
PM,19.581745,,,191811600384.0,0.30600253080087403,Consumer Staples,Tobacco
PSX,14.045978,1.5813768,0.11121,45420531712.0,-0.15315309546524797,Energy,Oil & Gas Refining & Marketing
PNW,16.028194,1.4644408,0.09578,9695198208.0,0.15667383655874986,Utilities,Multi-Utilities
PNC,16.27665,1.5445071,0.099020004,76337086464.0,0.26298166531254474,Financials,Diversified Banks
POOL,29.466955,9.126412,0.31463,13064073216.0,-0.1251528698150739,Consumer Discretionary,Distributors
PPG,19.047544,3.5803866,0.19149,27884081152.0,-0.1916195294447024,Materials,Specialty Chemicals
PPL,28.914415,1.6802785,0.05864,23685146624.0,0.17434946470508028,Utilities,Electric Utilities
PFG,,1.5413496,-0.01274,17277962240.0,-0.03709364112065842,Financials,Life & Health Insurance
PG,29.082533,7.7818184,0.28766,397245087744.0,0.17170525015308075,Consumer Staples,Personal Care Products
